raw_pattern,canonical_name,canonical_id,match_type,decision_id
고객서비스,고객서비스,BIZ_00001,prefix_after_numeric_suffix_trim,SDEC-004
교육,교육,BIZ_00002,prefix_after_numeric_suffix_trim,SDEC-004
구매,구매,BIZ_00003,prefix_after_numeric_suffix_trim,SDEC-004
기획,기획,BIZ_00004,prefix_after_numeric_suffix_trim,SDEC-004
데이터,데이터,BIZ_00005,prefix_after_numeric_suffix_trim,SDEC-004
마케팅,마케팅,BIZ_00006,prefix_after_numeric_suffix_trim,SDEC-004
물류,물류,BIZ_00007,prefix_after_numeric_suffix_trim,SDEC-004
법무,법무,BIZ_00008,prefix_after_numeric_suffix_trim,SDEC-004
보안,보안,BIZ_00009,prefix_after_numeric_suffix_trim,SDEC-004
분석,분석,BIZ_00010,prefix_after_numeric_suffix_trim,SDEC-004
생산,생산,BIZ_00011,prefix_after_numeric_suffix_trim,SDEC-004
시설,시설,BIZ_00012,prefix_after_numeric_suffix_trim,SDEC-004
영업,영업,BIZ_00013,prefix_after_numeric_suffix_trim,SDEC-004
인사,인사,BIZ_00014,prefix_after_numeric_suffix_trim,SDEC-004
자산관리,자산관리,BIZ_00015,prefix_after_numeric_suffix_trim,SDEC-004
재무,재무,BIZ_00016,prefix_after_numeric_suffix_trim,SDEC-004
전략,전략,BIZ_00017,prefix_after_numeric_suffix_trim,SDEC-004
품질관리,품질관리,BIZ_00018,prefix_after_numeric_suffix_trim,SDEC-004
IT,IT,BIZ_00019,prefix_after_numeric_suffix_trim,SDEC-004
R&D,R&D,BIZ_00020,prefix_after_numeric_suffix_trim,SDEC-004
